Name,Age,Overall,Nationality,Club,Value,Wage,Preferred Foot,Jersey Number,Position
J. Brandt,22,82,Germany,Bayer 04 Leverkusen,€30.5M,€68K,Right,10.0,LM
D. Rugani,23,82,Italy,Juventus,€24.5M,€95K,Right,15.0,CB
Samu Castillejo,23,82,Spain,Milan,€29M,€94K,Left,7.0,RM
João Cancelo,24,82,Portugal,Juventus,€25.5M,€95K,Right,2.0,RB
A. Romagnoli,23,82,Italy,Milan,€26.5M,€84K,Left,13.0,LCB
T. Partey,25,82,Ghana,Atlético Madrid,€25.5M,€59K,Right,5.0,CDM
Fred,25,82,Brazil,Manchester United,€26.5M,€140K,Left,17.0,CM
J. Vardy,31,82,England,Leicester City,€20M,€96K,Right,9.0,ST
A. Belotti,24,82,Italy,Torino,€30M,€58K,Right,9.0,LS
E. Forsberg,26,82,Sweden,RB Leipzig,€26M,€67K,Right,10.0,LM
J. Lingard,25,82,England,Manchester United,€26.5M,€140K,Right,7.0,CAM
F. Vázquez,29,82,Argentina,Sevilla FC,€21.5M,€27K,Left,22.0,LCM
E. Višća,28,82,Bosnia Herzegovina,Medipol Başakşehir FK,€22.5M,€40K,Right,7.0,RM
A. Rüdiger,25,82,Germany,Chelsea,€22.5M,€110K,Right,16.0,CB
A. Florenzi,27,82,Italy,Roma,€20.5M,€73K,Right,16.0,RB
H. Maguire,25,82,England,Leicester City,€23.5M,€77K,Right,6.0,LCB
T. Meunier,26,82,Belgium,Paris Saint-Germain,€21M,€87K,Right,15.0,RM
S. Sané,27,82,Senegal,FC Schalke 04,€18.5M,€41K,Right,26.0,CB
G. Kondogbia,25,82,Central African Rep.,Valencia CF,€27.5M,€46K,Left,6.0,CM
Rafinha,25,82,Brazil,FC Barcelona,€29.5M,€165K,Left,12.0,CAM
Gabriel Paulista,27,82,Brazil,Valencia CF,€21M,€44K,Right,5.0,LCB
Morata,25,82,Spain,Chelsea,€28.5M,€135K,Right,7.0,ST
J. Cillessen,29,82,Netherlands,FC Barcelona,€18M,€135K,Right,1.0,GK
W. Ben Yedder,27,82,France,Sevilla FC,€23.5M,€28K,Right,9.0,RS
C. Bakambu,27,82,DR Congo,Beijing Sinobo Guoan FC,€26M,€33K,Right,17.0,ST
Pablo Sarabia,26,82,Spain,Sevilla FC,€26M,€26K,Left,17.0,RCM
W. Zaha,25,82,Ivory Coast,Crystal Palace,€28.5M,€78K,Right,11.0,LS
Luis Alberto,25,82,Spain,Lazio,€28.5M,€67K,Right,10.0,CF
Jonathan Viera,28,82,Spain,Beijing Sinobo Guoan FC,€22.5M,€31K,Right,23.0,LF
Bartra,27,82,Spain,Real Betis,€21M,€32K,Right,5.0,CB
S. Coates,27,82,Uruguay,Sporting CP,€21M,€19K,Right,4.0,RCB
Willian José,26,82,Brazil,Real Sociedad,€26.5M,€44K,Right,12.0,ST
Mário Fernandes,27,82,Russia,PFC CSKA Moscow,€18.5M,€1K,Right,6.0,RB
Víctor Ruiz,29,82,Spain,Villarreal CF,€19.5M,€43K,Left,6.0,LCB
T. Delaney,26,82,Denmark,Borussia Dortmund,€21.5M,€61K,Left,8.0,LCM
K. Casteels,26,82,Belgium,VfL Wolfsburg,€19.5M,€46K,Left,13.0,GK
M. Götze,26,82,Germany,Borussia Dortmund,€27M,€67K,Right,10.0,CM
S. Mustafi,26,82,Germany,Arsenal,€22.5M,€115K,Right,20.0,RCB
J. Pastore,29,82,Argentina,Roma,€21.5M,€84K,Right,27.0,CAM
Pedro,30,82,Spain,Chelsea,€21M,€140K,Right,11.0,RW
G. Bonaventura,28,82,Italy,Milan,€22M,€115K,Right,5.0,CM
R. Bürki,27,82,Switzerland,Borussia Dortmund,€18.5M,€50K,Right,21.0,GK
Taison,30,82,Brazil,Shakhtar Donetsk,€21M,€1K,Right,7.0,LM
S. Nzonzi,29,82,France,Roma,€17M,€77K,Right,15.0,CDM
Marlos,30,82,Ukraine,Shakhtar Donetsk,€21M,€1K,Left,11.0,RM
A. Ramsey,27,82,Wales,Arsenal,€25M,€130K,Right,10.0,CAM
K. Trippier,27,82,England,Tottenham Hotspur,€18.5M,€99K,Right,12.0,RB
A. Kolarov,32,82,Serbia,Roma,€12.5M,€73K,Left,11.0,LB
G. Sigurðsson,28,82,Iceland,Everton,€22.5M,€125K,Right,10.0,CAM
S. Giovinco,31,82,Italy,Toronto FC,€20M,€15K,Right,21.0,CF
M. Arnautović,29,82,Austria,West Ham United,€22M,€120K,Right,7.0,LS
N. Gaitán,30,82,Argentina,Dalian YiFang FC,€21M,€22K,Left,9.0,CAM
J. Henderson,28,82,England,Liverpool,€18M,€125K,Right,8.0,RCM
M. Kruse,30,82,Germany,SV Werder Bremen,€21.5M,€45K,Left,10.0,ST
M. Parolo,33,82,Italy,Lazio,€9M,€59K,Right,16.0,RDM
L. Fejsa,29,82,Serbia,SL Benfica,€17M,€18K,Right,5.0,CDM
A. Rami,32,82,France,Olympique de Marseille,€12.5M,€57K,Right,23.0,RCB
V. Ćorluka,32,82,Croatia,Lokomotiv Moscow,€12.5M,€1K,Right,14.0,LCB
G. Wijnaldum,27,82,Netherlands,Liverpool,€23M,€130K,Right,8.0,CAM
F. Fazio,31,82,Argentina,Roma,€15M,€73K,Right,20.0,LCB
O. Giroud,31,82,France,Chelsea,€20M,€140K,Left,9.0,ST
Marcano,31,82,Spain,Roma,€15M,€73K,Left,15.0,CB
A. Guardado,31,82,Mexico,Real Betis,€19M,€35K,Left,18.0,CM
E. Garay,31,82,Argentina,Valencia CF,€15M,€44K,Right,24.0,RCB
Jardel,32,82,Brazil,SL Benfica,€12.5M,€17K,Right,33.0,LCB
S. Sirigu,31,82,Italy,Torino,€13.5M,€45K,Right,1.0,GK
E. Viviano,32,82,Italy,Sporting CP,€12.5M,€15K,Left,1.0,GK
L. Koscielny,32,82,France,Arsenal,€12.5M,€115K,Right,6.0,CB
A. Consigli,31,82,Italy,Sassuolo,€13.5M,€52K,Right,47.0,GK
L. Biglia,32,82,Argentina,Milan,€12.5M,€98K,Right,21.0,CDM
Dani Alves,35,82,Brazil,Paris Saint-Germain,€4.8M,€62K,Right,13.0,RB
David Villa,36,82,Spain,New York City FC,€8M,€12K,Right,7.0,ST
Aduriz,37,82,Spain,Athletic Club de Bilbao,€8M,€29K,Right,20.0,ST
P. Čech,36,82,Czech Republic,Arsenal,€3M,€60K,Left,1.0,GK
Casillas,37,82,Spain,FC Porto,€1.5M,€10K,Left,1.0,GK
M. Rashford,20,81,England,Manchester United,€27M,€110K,Right,11.0,LW
Laure Santeiro,30,81,Brazil,Fluminense,€17M,€40K,Left,8.0,CAM
L. Bailey,20,81,Jamaica,Bayer 04 Leverkusen,€26.5M,€54K,Left,9.0,LM
M. Akanji,22,81,Switzerland,Borussia Dortmund,€21M,€49K,Right,5.0,LCB
F. de Jong,21,81,Netherlands,Ajax,€26M,€19K,Right,7.0,LDM
Nélson Semedo,24,81,Portugal,FC Barcelona,€20M,€125K,Right,2.0,RB
Pablo Fornals,22,81,Spain,Villarreal CF,€24M,€36K,Right,8.0,CAM
Fabián,22,81,Spain,Napoli,€26M,€64K,Left,8.0,LM
